"row_id","drink","merged","glass","ingredients"
0,"'57 Chevy with a White License Plate","Highball glass Creme de Cacao 1 oz white Vodka 1 oz","Highball glass",2
1,"1-900-FUK-MEUP","Old-fashioned glass Absolut Kurant 1/2 oz Grand Marnier 1/4 oz Chambord raspberry liqueur 1/4 oz Midori melon liqueur 1/4 oz Malibu rum 1/4 oz Amaretto 1/4 oz Cranberry juice 1/2 oz Pineapple juice 1/4 oz","Old-fashioned glass",8
2,"110 in the shade","Beer Glass Lager 16 oz Tequila 1.5 oz","Beer Glass",2
3,"151 Florida Bushwacker","Beer mug Malibu rum 1/2 oz Light rum 1/2 oz 151 proof rum 1/2 oz Bacardi Dark Creme de Cacao 1 oz Cointreau 1 oz Milk 3 oz Coconut liqueur 1 oz Vanilla ice-cream 1 cup","Beer mug",8
4,"155 Belmont","White wine glass Dark rum 1 shot Light rum 2 shots Vodka 1 shot Orange juice 1 shot","White wine glass",4
5,"24k nightmare","Shot glass Goldschlager 1/2 oz Jägermeister 1/2 oz Rumple Minze 1/2 oz 151 proof rum 1/2 oz Bacardi","Shot glass",4
6,"252","Shot glass 151 proof rum 1/2 shot Bacardi Wild Turkey 1/2 shot","Shot glass",2
8,"3-Mile Long Island Iced Tea","Collins Glass Gin 1/2 oz Light rum 1/2 oz Tequila 1/2 oz Triple sec 1/2 oz Vodka 1/2 oz Coca-Cola 
 Sweet and sour 1-2 dash Bitters 1 wedge","Collins Glass",8
7,"3 Wise Men","Collins glass Jack Daniels 1/3 oz Johnnie Walker 1/3 oz Jim Beam 1/3 oz","Collins glass",3
9,"410 Gone","Collins Glass Peach Vodka 2-3 oz","Collins Glass",1
10,"50/50","Collins Glass Vanilla vodka 2 1/2 oz Grand Marnier 1 splash Orange juice Fill with","Collins Glass",3
11,"501 Blue","Collins Glass Blue Curacao 
 Blueberry schnapps 
 Vodka 
 Sour mix 
 7-Up 
","Collins Glass",5
12,"69 Special","Collins Glass Gin 2 oz dry 7-Up 4 oz Lemon juice 0.75 oz","Collins Glass",3
13,"747","Shot glass Kahlua 1/3 part Bailey's irish cream 1/3 part Frangelico 1/3 part","Shot glass",3
14,"9 1/2 Weeks","Cocktail glass Absolut Citron 2 oz Orange Curacao 1/2 oz Strawberry liqueur 1 splash Orange juice 1 oz","Cocktail glass",4
